beer_name,brand,style,abv,ibu,ingredients,flavor_profile,pairings,description
Lagunitas IPA,Lagunitas Brewing Company,IPA,6.2,60,"water, barley, hops, yeast","bitter, citrusy, hoppy, piney","grilled chicken, spicy tacos, blue cheese","A bold IPA with a deliciously hoppy and citrusy flavor, balanced by a light malt sweetness"
Guinness Draught,Guinness,Stout,4.2,40,"water, barley, hops, yeast, nitrogen","roasty, smooth, chocolatey, coffee","steak, chocolate cake, oysters","A creamy stout with rich, roasted malt flavors and a smooth, velvety finish, accented with hints of coffee and chocolate"
Corona Extra,Grupo Modelo,Lager,4.5,18,"water, barley, hops, corn","light, crisp, citrusy, refreshing","fish tacos, grilled shrimp, salads","A light and refreshing lager with a crisp, clean finish and subtle citrusy notes, perfect for hot days"
Chimay Blue,Chimay,Belgian Strong Dark Ale,9.0,35,"water, barley, hops, yeast, sugar","rich, malty, dark fruit, spicy","roast lamb, aged cheese, dark chocolate","A robust Belgian ale with complex malty flavors and dark fruit notes, balanced by a spicy finish and a high ABV"
Everest Beer,Everest Brewery,Lager,5.0,18,"water, barley, hops, rice, yeast","light, crisp, smooth, refreshing","momos, fried chicken, pork curry","A refreshing lager with a smooth, crisp finish Its a popular choice in Nepal, offering a balanced flavor with a touch of sweetness"
Nepal Ice,Shree Harsha Brewing Company,Lager,7.2,20,"water, barley, hops, yeast","strong, hoppy, smooth, sweet","spicy curry, grilled meat, sichuan dishes","A stronger lager with a bold, hoppy taste and a smooth finish Nepal Ice is a popular choice for those who enjoy a higher ABV and a more intense beer"
Kathmandu Beer,Kathmandu Brewery,Pale Ale,5.5,30,"water, barley, hops, yeast","bitter, citrusy, floral, light","grilled fish, cheese pizza, vegetarian dishes","A crisp and refreshing pale ale with a balanced bitterness and citrusy notes, ideal for pairing with light dishes"
Lalitpur Lager,Lalitpur Brewery,Lager,4.8,22,"water, barley, hops, yeast","light, smooth, mild, refreshing","chicken tikka, fried snacks, salads","A smooth, mild lager with a refreshing taste, perfect for casual drinking with a variety of Nepali dishes"
Tiger Beer,Tiger Beer Nepal,Lager,5.0,18,"water, barley, hops, yeast","smooth, crisp, light, refreshing","spicy momo, fried fish, grilled meat","A popular lager known for its smooth, crisp taste Tiger Beer is a goto beer for pairing with spicy Nepali cuisine"
Gorkha Beer,Gorkha Brewery,Pale Lager,5.2,20,"water, barley, hops, yeast","light, crisp, hoppy, smooth","chatamari, grilled lamb, cheese","A wellbalanced pale lager with a mild hop flavor and a smooth finish, perfect for pairing with hearty Nepali dishes"
Shree Chhe Beer,Shree Chhe Brewery,Pilsner,5.0,23,"water, barley, hops, yeast","light, crisp, bitter, refreshing","pizza, fries, spicy noodles","A crisp pilsner with a refreshing bitterness, perfect for pairing with fast food or spicy snacks"
Mount Everest Strong,Everest Brewery,Strong Lager,8.0,25,"water, barley, hops, yeast","strong, malty, hoppy, bitter","grilled meat, steak, barbecue","A stronger lager with a malty body and a robust, hoppy finish Ideal for those who enjoy a more intense, flavorful beer"
Budweiser,Anheuser-Busch,Lager,5.0,10,"water, barley, rice, hops, yeast","light, crisp, refreshing, mild","burgers, fried chicken, pizza","Budweiser is a crisp, refreshing lager with a light body and smooth finish, often enjoyed with casual meals and barbecue"
Heineken,Heineken International,Pilsner,5.0,19,"water, barley, hops, yeast","crisp, bitter, refreshing, light","grilled chicken, cheese, fish and chips","Heineken is a crisp pilsner with a distinct bitterness and refreshing taste, perfect for pairing with grilled foods and seafood"
Corona Extra,Grupo Modelo,Pale Lager,4.6,19,"water, barley, corn, hops, yeast","light, crisp, slightly sweet, smooth","tacos, guacamole, grilled shrimp","Corona Extra is a light and crisp lager with a smooth finish, often enjoyed with Mexican dishes or light snacks, especially in summer"
Guinness,Guinness,Stout,4.2,45,"water, barley, hops, yeast","roasty, bitter, chocolate, creamy","beef stew, oysters, chocolate cake","Guinness is a rich stout with deep roasty flavors and a creamy texture, perfect for pairing with hearty dishes and desserts"
Stella Artois,Anheuser-Busch InBev,Pilsner,5.2,24,"water, barley, hops, yeast","crisp, slightly bitter, refreshing, mild","cheese, fish, grilled meats","Stella Artois is a wellbalanced pilsner with a light, crisp taste and mild bitterness, ideal for pairing with cheese and seafood"
Asahi Super Dry,Asahi Breweries,Dry Lager,5.0,18,"water, barley, rice, hops, yeast","crisp, refreshing, dry, light","sushi, fried foods, ramen","Asahi Super Dry is a crisp, refreshing lager with a dry finish, perfect for pairing with Japanese cuisine and fried foods"
Miller Lite,Miller Brewing Company,Light Lager,4.2,10,"water, barley, corn, hops, yeast","light, smooth, mild, refreshing","chicken wings, pizza, salads","Miller Lite is a light lager with a smooth, refreshing taste, making it a great companion for casual meals and light snacks"
Carlsberg,Carlsberg Group,Pilsner,5.0,20,"water, barley, hops, yeast","crisp, slightly bitter, refreshing, balanced","burgers, cheese, fried fish","Carlsberg is a classic pilsner with a crisp, refreshing taste and slightly bitter finish, ideal for pairing with burgers and grilled foods"
Tsingtao,Tsingtao Brewery Group,Pale Lager,4.8,22,"water, barley, rice, hops, yeast","crisp, slightly sweet, refreshing, light","dim sum, fried rice, grilled meats","Tsingtao is a pale lager with a smooth, slightly sweet flavor, perfect for pairing with Chinese cuisine and light snacks"
Samuel Adams Boston Lager,Boston Beer Company,Amber Lager,5.0,30,"water, barley, hops, yeast","malty, balanced, hoppy, caramel","barbecue, cheese, spicy foods","Samuel Adams Boston Lager is a rich amber lager with malty sweetness balanced by hoppy bitterness, making it a great match for grilled meats and spicy foods"
Pilsner Urquell,Plzensky Prazdroj,Pilsner,4.4,40,"water, barley, hops, yeast","bitter, crisp, hoppy, refreshing","sausages, fried foods, grilled chicken","Pilsner Urquell is a classic Czech pilsner with a distinctive hoppy bitterness and a refreshing, crisp finish Its perfect with sausages and fried foods"
Blue Moon,Blue Moon Brewing Company,Witbier,5.4,9,"water, barley, orange peel, coriander, yeast","citrusy, spicy, refreshing, smooth","salads, seafood, chicken wings","Blue Moon is a Belgianstyle wheat beer with hints of orange peel and coriander, creating a smooth and refreshing taste thats great with light dishes"
Coors Light,Coors Brewing Company,Light Lager,4.2,10,"water, barley, corn, hops, yeast","light, smooth, mild, refreshing","burgers, nachos, grilled chicken","Coors Light is a crisp and refreshing light lager, perfect for pairing with casual meals like burgers, nachos, and grilled foods"
Beck's,Anheuser-Busch InBev,Pilsner,4.9,20,"water, barley, hops, yeast","bitter, crisp, refreshing, light","cheese, pizza, grilled meats","Becks is a German pilsner with a crisp and refreshing taste, offering a subtle bitterness that pairs well with a variety of foods like cheese and grilled meats"
Chimay Blue,Chimay Brewery,Belgian Strong Dark Ale,9.0,35,"water, barley, sugar, hops, yeast","dark fruit, malty, spicy, rich","stew, roast meats, dark chocolate",Chimay Blue is a Belgian strong dark ale with rich malty flavors and notes of dark fruit and spice It pairs beautifully with hearty stews and dark chocolate
Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.,Pale Ale,5.6,38,"water, barley, hops, yeast","hoppy, piney, bitter, fruity","spicy food, grilled meats, cheese","Sierra Nevada Pale Ale is a classic American pale ale with bold hop flavors and a touch of bitterness, making it a great match for spicy dishes and grilled meats"
Spaten Lager,Spaten-Franziskaner-Bräu,Helles Lager,5.2,22,"water, barley, hops, yeast","malty, smooth, slightly bitter, refreshing","pretzels, sausages, grilled meats","Spaten Lager is a smooth and slightly bitter Helles lager with malty undertones, perfect for pairing with German cuisine like sausages and pretzels"
Hoegaarden,Anheuser-Busch InBev,Witbier,4.9,15,"water, barley, wheat, orange peel, coriander, yeast","citrusy, spicy, light, refreshing","salads, seafood, mussels","Hoegaarden is a Belgianstyle witbier with a light, refreshing taste and notes of citrus and coriander It pairs wonderfully with seafood and fresh salads"
Lagunitas IPA,Lagunitas Brewing Company,India Pale Ale,6.2,51,"water, barley, hops, yeast","hoppy, piney, citrusy, bitter","spicy food, burgers, blue cheese","Lagunitas IPA is a bold India Pale Ale with piney, citrusy hop flavors and a bitter finish, making it perfect for pairing with spicy dishes and blue cheese"
Bass Pale Ale,Bass Brewery,Pale Ale,5.0,34,"water, barley, hops, yeast","malty, balanced, hoppy, caramel","grilled meats, cheese, roast chicken","Bass Pale Ale is a wellbalanced beer with malty sweetness and a hoppy finish, making it a great companion for grilled meats and roast chicken"
Anchor Steam,Anchor Brewing Company,California Common,4.9,35,"water, barley, corn, hops, yeast","malty, smooth, slightly sweet, crisp","burgers, grilled sausages, cheese","Anchor Steam is a distinctive California Common beer with a smooth malty sweetness and a crisp finish, making it perfect with burgers, grilled sausages, and cheese"
Busch Light,Anheuser-Busch InBev,Light Lager,4.1,12,"water, barley, corn, hops, yeast","light, mild, refreshing, smooth","chicken wings, salads, light snacks","Busch Light is a crisp and refreshing light lager, perfect for casual occasions and pairing with chicken wings, salads, or light snacks"
Peroni Nastro Azzurro,Birra Peroni,Pilsner,5.1,28,"water, barley, hops, yeast","crisp, refreshing, bitter, slightly floral","seafood, pasta, cheese","Peroni Nastro Azzurro is a crisp and refreshing Italian pilsner with a floral hop bitterness, making it an ideal match for seafood, pasta, and cheese"
Dos Equis,Cervecería Cuauhtémoc Moctezuma,Lager,4.5,18,"water, barley, corn, hops, yeast","light, mild, smooth, refreshing","tacos, nachos, grilled meats","Dos Equis is a smooth and mild lager that pairs perfectly with flavorful foods like tacos, nachos, and grilled meats"
